authors,published_parsed,updated_parsed,primary_category,tagged_categories,weights,pages,references
"[u'Hoan Tran Quoc', u'Yoshihiko Hasegawa']","time.struct_time(tm_year=2018, tm_mon=3, tm_mday=1, tm_hour=4, tm_min=34, tm_sec=25, tm_wday=3, tm_yday=60, tm_isdst=0)","time.struct_time(tm_year=2018, tm_mon=3, tm_mday=16, tm_hour=5, tm_min=13, tm_sec=0, tm_wday=4, tm_yday=75, tm_isdst=0)",physics.data-an,[u'physics.data-an'],1.0,13,10
"[u'Peter Bubenik', u'Pawel Dlotko']","time.struct_time(tm_year=2014, tm_mon=12, tm_mday=31, tm_hour=17, tm_min=34, tm_sec=59, tm_wday=2, tm_yday=365, tm_isdst=0)","time.struct_time(tm_year=2015, tm_mon=8, tm_mday=28, tm_hour=17, tm_min=16, tm_sec=40, tm_wday=4, tm_yday=240, tm_isdst=0)",cs.CG,"[u'cs.CG', u'cs.MS', u'math.AT', u'stat.CO']",1.0,24,57
"[u'Chad M. Topaz', u'Lori Ziegelmeier', u'Tom Halverson']","time.struct_time(tm_year=2014, tm_mon=12, tm_mday=19, tm_hour=16, tm_min=44, tm_sec=3, tm_wday=4, tm_yday=353, tm_isdst=0)","time.struct_time(tm_year=2015, tm_mon=3, tm_mday=11, tm_hour=16, tm_min=54, tm_sec=37, tm_wday=2, tm_yday=70, tm_isdst=0)",q-bio.QM,"[u'q-bio.QM', u'math.AT', u'nlin.AO']",0.5,25,50
"[u'Hamed Haddadi', u'Damien Fay', u'Almerima Jamakovic', u'Olaf Maennel', u'Andrew W. Moore', u'Richard Mortier', u'Miguel Rio', u'Steve Uhlig']","time.struct_time(tm_year=2008, tm_mon=7, tm_mday=13, tm_hour=11, tm_min=4, tm_sec=59, tm_wday=6, tm_yday=195, tm_isdst=0)","time.struct_time(tm_year=2008, tm_mon=7, tm_mday=13, tm_hour=11, tm_min=4, tm_sec=59, tm_wday=6, tm_yday=195, tm_isdst=0)",cs.NI,"[u'cs.NI', u'C.2.1; I.6.4']",0.14285714285714285,14,38
[u'Justin Curry'],"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=3, tm_hour=19, tm_min=13, tm_sec=46, tm_wday=0, tm_yday=307, tm_isdst=0)","time.struct_time(tm_year=2015, tm_mon=3, tm_mday=4, tm_hour=17, tm_min=18, tm_sec=33, tm_wday=2, tm_yday=63, tm_isdst=0)",math.AT,[u'math.AT'],0.0,30,35
"[u'Aviv Censor', u'Daniele Grandini']","time.struct_time(tm_year=2011, tm_mon=1, tm_mday=17, tm_hour=14, tm_min=8, tm_sec=17, tm_wday=0, tm_yday=17, tm_isdst=0)","time.struct_time(tm_year=2011, tm_mon=1, tm_mday=17, tm_hour=14, tm_min=8, tm_sec=17, tm_wday=0, tm_yday=17, tm_isdst=0)",math.FA,"[u'math.FA', u'math.CT', u'22A22, 28A50']",1.0,32,12
[u'Marian Gidea'],"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=21, tm_hour=20, tm_min=37, tm_sec=52, tm_wday=5, tm_yday=21, tm_isdst=0)","time.struct_time(tm_year=2017, tm_mon=1, tm_mday=21, tm_hour=20, tm_min=37, tm_sec=52, tm_wday=5, tm_yday=21, tm_isdst=0)",q-fin.MF,"[u'q-fin.MF', u'math.DS', u'physics.soc-ph']",0.0,13,20
"[u'Naoki Hamada', u'Keisuke Goto']","time.struct_time(tm_year=2018, tm_mon=4, tm_mday=19, tm_hour=14, tm_min=3, tm_sec=0, tm_wday=3, tm_yday=109, tm_isdst=0)","time.struct_time(tm_year=2018, tm_mon=4, tm_mday=19, tm_hour=14, tm_min=3, tm_sec=0, tm_wday=3, tm_yday=109, tm_isdst=0)",cs.NE,"[u'cs.NE', u'math.OC']",1.0,8,22
[u'Massimo Ferri'],"time.struct_time(tm_year=2017, tm_mon=6, tm_mday=1, tm_hour=17, tm_min=54, tm_sec=18, tm_wday=3, tm_yday=152, tm_isdst=0)","time.struct_time(tm_year=2017, tm_mon=8, tm_mday=18, tm_hour=9, tm_min=51, tm_sec=17, tm_wday=4, tm_yday=230, tm_isdst=0)",math.AT,[u'math.AT'],0.0,18,51
"[u'Kelin Xia', u'Guo-Wei Wei']","time.struct_time(tm_year=2014, tm_mon=12, tm_mday=24, tm_hour=14, tm_min=53, tm_sec=8, tm_wday=2, tm_yday=358, tm_isdst=0)","time.struct_time(tm_year=2014, tm_mon=12, tm_mday=24, tm_hour=14, tm_min=53, tm_sec=8, tm_wday=2, tm_yday=358, tm_isdst=0)",q-bio.BM,[u'q-bio.BM'],1.0,32,117
"[u'Scott Balchin', u'Etienne Pillin']","time.struct_time(tm_year=2015, tm_mon=3, tm_mday=16, tm_hour=12, tm_min=7, tm_sec=34, tm_wday=0, tm_yday=75, tm_isdst=0)","time.struct_time(tm_year=2015, tm_mon=3, tm_mday=16, tm_hour=12, tm_min=7, tm_sec=34, tm_wday=0, tm_yday=75, tm_isdst=0)",math.GN,[u'math.GN'],1.0,17,11
[u'Steven P. Ellis'],"time.struct_time(tm_year=2017, tm_mon=9, tm_mday=6, tm_hour=10, tm_min=3, tm_sec=3, tm_wday=2, tm_yday=249, tm_isdst=0)","time.struct_time(tm_year=2017, tm_mon=9, tm_mday=6, tm_hour=10, tm_min=3, tm_sec=3, tm_wday=2, tm_yday=249, tm_isdst=0)",stat.AP,"[u'stat.AP', u'q-bio.QM', u'92C40, 62M99']",0.0,10,5
